wdid,str_name,utm_x,utm_y,dist,basin,name
"4000731",OBERT DITCH,237919.29999999999,4314885.50000000000,40,Gunnison,North Fork Tribs
"4001070",ARTHUR L. MARTIN DITCH,293601.00000000000,4331200.00000000000,40,Gunnison,North Fork Tribs
"4001135",FRED SHAEFFER DITCH,292207.00000000000,4331730.00000000000,40,Gunnison,North Fork Tribs
"4000907",STORTS DITCH,210269.00000000000,4302325.00000000000,40,Gunnison,North Fork Tribs
"4001120",DOWNING DITCH,298500.00000000000,4322895.00000000000,40,Gunnison,North Fork Tribs
"4001051",SWEEZY TURNER DITCH,283707.00000000000,4304931.00000000000,40,Gunnison,North Fork Tribs
"4000566",LARSON BROTHERS DITCH,262349.00000000000,4292610.00000000000,40,Gunnison,North Fork Tribs
"4000557",HARTMAN MCINTYRE DITCH,277654.00000000000,4279002.00000000000,40,Gunnison,North Fork Tribs
"4100908",MANSKA/GRAY WASTEWATER DITCH,232216.00000000000,4281488.00000000000,40,Gunnison,North Fork Tribs
"4000867",CAPT H A SMITH DITCH,211759.89999999999,4286129.70000000019,40,Gunnison,North Fork Tribs
"4001106",COYOTE DITCH,297432.00000000000,4322381.00000000000,40,Gunnison,North Fork Tribs
"4000852",SANBURG DITCH,236124.39999999999,4311238.00000000000,40,Gunnison,North Fork Tribs
"4000782",SUNFLOWER DITCH,240264.50000000000,4299228.29999999981,40,Gunnison,North Fork Tribs
"4000841",HOOSIER DITCH,236344.00000000000,4318858.00000000000,40,Gunnison,North Fork Tribs
"4000859",BLUMBERG DITCH NO. 1,200059.50000000000,4281718.79999999981,40,Gunnison,North Fork Tribs
"4000981",EMMONS HARDING DITCH,285759.00000000000,4302402.00000000000,40,Gunnison,North Fork Tribs
"4001272",BURT AND THOMPSON DITCH,244887.00000000000,4299373.00000000000,40,Gunnison,North Fork Tribs
"4001028",PAONIA FRUIT DITCH,276035.00000000000,4303048.00000000000,40,Gunnison,North Fork Tribs
"4000732",ORCHARD DITCH,243489.00000000000,4312895.00000000000,40,Gunnison,North Fork Tribs
"4000657",ROOSEVELT DITCH,245161.00000000000,4317721.00000000000,40,Gunnison,North Fork Tribs
"4000936",RAILROAD TUNNEL D NO 1,256158.00000000000,4297823.00000000000,40,Gunnison,North Fork Tribs
"4000748",WETTERICK MESA DITCH,242556.50000000000,4311036.29999999981,40,Gunnison,North Fork Tribs
"4001240",PERKINS DITCH,237836.29999999999,4314933.09999999963,40,Gunnison,North Fork Tribs
"4000938",SHINDLEDECKER DITCH (COW CREEK),259260.00000000000,4313153.00000000000,40,Gunnison,North Fork Tribs
"4001435",EVERLASTING DITCH,206873.00000000000,4267898.00000000000,40,Gunnison,North Fork Tribs
"4000963",CLEMENTS DITCH,271456.00000000000,4301826.00000000000,40,Gunnison,North Fork Tribs
"4001020",MINNESOTA CANAL,279979.00000000000,4304727.00000000000,40,Gunnison,North Fork Tribs
"4001184",NORRIS DITCH,304527.00000000000,4307284.00000000000,40,Gunnison,North Fork Tribs
"4000643",KISER DITCH,245156.00000000000,4317543.00000000000,40,Gunnison,North Fork Tribs
"4001530",SHELDON DITCH,243491.10000000001,4312191.29999999981,40,Gunnison,North Fork Tribs
"4001218",WELCH MESA DITCH,292568.00000000000,4337497.00000000000,40,Gunnison,North Fork Tribs
"4000587",PINE CR DITCH,287123.00000000000,4290014.00000000000,40,Gunnison,North Fork Tribs
"4000671",BEESON DITCH,247900.00000000000,4314220.00000000000,40,Gunnison,North Fork Tribs
"4001132",FILMORE DITCH,301388.00000000000,4318390.00000000000,40,Gunnison,North Fork Tribs
"4000630",BRONCHO DITCH,246636.00000000000,4314926.00000000000,40,Gunnison,North Fork Tribs
"4000507",ANDERSON DITCH,264752.00000000000,4287529.00000000000,40,Gunnison,North Fork Tribs
"4000778",SETTLE DITCH,246727.00000000000,4310497.00000000000,40,Gunnison,North Fork Tribs
"4001057",VOGEL DITCH,275667.40000000002,4303551.59999999963,40,Gunnison,North Fork Tribs
"4001208",TERROR DITCH,276927.00000000000,4311810.00000000000,40,Gunnison,North Fork Tribs
"4000707",GABRIEL DITCH,242234.00000000000,4315547.00000000000,40,Gunnison,North Fork Tribs
"4000944",OVERLAND DITCH (LEROUX CREEK),257730.00000000000,4311984.00000000000,40,Gunnison,North Fork Tribs
"4000898",POVERTY DITCH,212709.60000000001,4288560.20000000019,40,Gunnison,North Fork Tribs
"4000664",TEXAS DITCH,247033.60000000001,4315968.40000000037,40,Gunnison,North Fork Tribs
"4001024",NEILL DITCH,262884.00000000000,4301147.00000000000,40,Gunnison,North Fork Tribs
"4003076",NEWHOUSE PUMP,239703.00000000000,4300156.00000000000,40,Gunnison,North Fork Tribs
"4000590",PRESTON DITCH,273082.00000000000,4286757.00000000000,40,Gunnison,North Fork Tribs
"4000760",FRANK DITCH,246729.00000000000,4310495.00000000000,40,Gunnison,North Fork Tribs
"4006540",TWILA'S DITCH,276138.00000000000,4305193.00000000000,40,Gunnison,North Fork Tribs
"4000606",SMITHS FORK CR CANON D,257276.00000000000,4291768.00000000000,40,Gunnison,North Fork Tribs
"4001317",SPRUCE SPRING DITCH,220471.00000000000,4247366.00000000000,40,Gunnison,North Fork Tribs
"4001257",WHITE WASTE DITCH,256338.00000000000,4299965.00000000000,40,Gunnison,North Fork Tribs
"4000741",SANDSTONE BLUFF DITCH,241890.50000000000,4313062.40000000037,40,Gunnison,North Fork Tribs
"4000738",RED HAW DITCH,237845.10000000001,4314915.50000000000,40,Gunnison,North Fork Tribs
"4001012",LONE CABIN DITCH,282729.59999999998,4299504.00000000000,40,Gunnison,North Fork Tribs
"4001267",DEAN DITCH,242407.70000000001,4316953.40000000037,40,Gunnison,North Fork Tribs
"4001001",H. S. JOHNSON DITCH,263434.00000000000,4300795.00000000000,40,Gunnison,North Fork Tribs
"4000921",ENOS T HOTCHKISS DITCH,262494.00000000000,4298439.00000000000,40,Gunnison,North Fork Tribs
"4000543",DYER FORK DITCH,283071.79999999999,4271921.59999999963,40,Gunnison,North Fork Tribs
"4000655",ROSEBERRY DITCH,245319.00000000000,4314327.00000000000,40,Gunnison,North Fork Tribs
"4001037",ROBBINS DITCH,270699.00000000000,4306715.00000000000,40,Gunnison,North Fork Tribs
"4000693",TRICKLE DITCH,246902.00000000000,4310993.00000000000,40,Gunnison,North Fork Tribs
"4001425",ADOBE DITCH,229840.00000000000,4284524.00000000000,40,Gunnison,North Fork Tribs
"4000858",BEVER DITCH PIPELINE,211148.00000000000,4301136.00000000000,40,Gunnison,North Fork Tribs
"4006501",ROUBIDEAU DITCH,226081.00000000000,4285802.00000000000,40,Gunnison,North Fork Tribs
"4000842",LINGREN & PICKETT DITCH,245401.50000000000,4309421.29999999981,40,Gunnison,North Fork Tribs
"4000853",SETTLE DITCH,244965.00000000000,4308232.00000000000,40,Gunnison,North Fork Tribs
"4001092",CAN DITCH,299468.00000000000,4318575.00000000000,40,Gunnison,North Fork Tribs
"4000751",ALFALFA DITCH,246432.00000000000,4308774.00000000000,40,Gunnison,North Fork Tribs
"4000624",YOUNG ENLT DITCH,274194.00000000000,4286668.00000000000,40,Gunnison,North Fork Tribs
"4000658",SANTA FE DITCH,247071.20000000001,4315710.20000000019,40,Gunnison,North Fork Tribs
"4001214",WADE DITCH,289990.00000000000,4323785.00000000000,40,Gunnison,North Fork Tribs
"4000878",HARRY WALKER DITCH,214547.00000000000,4289340.00000000000,40,Gunnison,North Fork Tribs
"4000547",FREEMAN DITCH NO 2,263315.00000000000,4288639.00000000000,40,Gunnison,North Fork Tribs
"4001000",HOTCHKISS DITCH NO. 3,264174.00000000000,4298398.00000000000,40,Gunnison,North Fork Tribs
"4000665",TIPPLE DITCH,244136.00000000000,4313202.00000000000,40,Gunnison,North Fork Tribs
"4000968",CRANE EBERSOL DITCH,271521.00000000000,4299336.00000000000,40,Gunnison,North Fork Tribs
"4000795",DESERT DITCH,252293.00000000000,4299621.00000000000,40,Gunnison,North Fork Tribs
"4000703",EAGLE DITCH,236919.60000000001,4315546.79999999981,40,Gunnison,North Fork Tribs
"4001131",FELDMAN DITCH,275498.00000000000,4306840.00000000000,40,Gunnison,North Fork Tribs
"4000679",GREGG DITCH,247548.00000000000,4313172.00000000000,40,Gunnison,North Fork Tribs
"4001068",WOODS NO 2 DITCH,266458.00000000000,4300670.00000000000,40,Gunnison,North Fork Tribs
"4000827",CALDWELL-MIDTON-STEPH D.,244277.50000000000,4309435.29999999981,40,Gunnison,North Fork Tribs
"4003411",WEST RESERVOIR,263268.00000000000,4312060.00000000000,40,Gunnison,North Fork Tribs
"4001473",MAUD S DITCH,234023.29999999999,4305036.40000000037,40,Gunnison,North Fork Tribs
"4000812",OASIS DITCH 1ST ENLT,250631.00000000000,4299141.00000000000,40,Gunnison,North Fork Tribs
"4001183",MONITOR DITCH,272563.00000000000,4304460.00000000000,40,Gunnison,North Fork Tribs
"4001143",GIB HUTCHINS DITCH,292572.00000000000,4336896.00000000000,40,Gunnison,North Fork Tribs
"4000788",ALFALFA RUN SEEP DITCH,242754.00000000000,4299294.00000000000,40,Gunnison,North Fork Tribs
"4001044",SIMS DITCH,281616.00000000000,4305308.00000000000,40,Gunnison,North Fork Tribs
"4000983",EUBANK & GONNER DITCH,277871.00000000000,4302302.00000000000,40,Gunnison,North Fork Tribs
"4002163",MCKIBBEN WASTE WATER DIV,266610.00000000000,4297036.00000000000,40,Gunnison,North Fork Tribs
"4000819",STELL DITCH,242502.00000000000,4300841.00000000000,40,Gunnison,North Fork Tribs
"4000533",CRYSTAL VALLEY DITCH,282098.29999999999,4270202.50000000000,40,Gunnison,North Fork Tribs
"4000849",PUMPKIN SWAG DITCH,243307.50000000000,4306979.29999999981,40,Gunnison,North Fork Tribs
"4000627",ALDRIDGE PIPELINE NO 1,243604.50000000000,4313075.40000000037,40,Gunnison,North Fork Tribs
"4000528",CLEAR FORK DITCH,278693.00000000000,4282898.00000000000,40,Gunnison,North Fork Tribs
"4000864",BRIDGE DITCH,215570.00000000000,4289918.00000000000,40,Gunnison,North Fork Tribs
"4000648",LOOKOUT DITCH,246910.60000000001,4315349.40000000037,40,Gunnison,North Fork Tribs
"4001112",DEER DITCH,300803.00000000000,4318116.00000000000,40,Gunnison,North Fork Tribs
"4001173",MAJNIK DITCH,281749.00000000000,4311829.00000000000,40,Gunnison,North Fork Tribs
"4000505",ALTEN DITCH,269653.59999999998,4289382.70000000019,40,Gunnison,North Fork Tribs
"4002269",TRIAL DITCH A,216386.00000000000,4295205.00000000000,40,Gunnison,North Fork Tribs
"4001059",W F DUKE DITCH,263895.00000000000,4299770.00000000000,40,Gunnison,North Fork Tribs
"4001436",HALLEY DITCH,227997.00000000000,4286079.00000000000,40,Gunnison,North Fork Tribs
"4000701",CEDAR PARK DITCH,237545.50000000000,4314976.29999999981,40,Gunnison,North Fork Tribs
"4000901",SCHAFER DITCH,212528.00000000000,4298466.00000000000,40,Gunnison,North Fork Tribs
"4006124",GROUSE CREEK EXTENSION DITCH,295952.00000000000,4329696.00000000000,40,Gunnison,North Fork Tribs
"4001313",PUG WHITE DITCH,208038.00000000000,4269159.00000000000,40,Gunnison,North Fork Tribs
"4001004",JAY CREEK DITCH,264761.59999999998,4302899.29999999981,40,Gunnison,North Fork Tribs
"4000752",BIG FALL DITCH,241904.00000000000,4301906.00000000000,40,Gunnison,North Fork Tribs
"4001273",EWING DITCH,242441.00000000000,4300374.00000000000,40,Gunnison,North Fork Tribs
"4000661",SURFACE CREEK DITCH (WARD),242594.50000000000,4319031.29999999981,40,Gunnison,North Fork Tribs
"4001798",VOLK DITCH,297220.00000000000,4322402.00000000000,40,Gunnison,North Fork Tribs
"4001019",MILLER WASTE DITCH,263463.00000000000,4299957.00000000000,40,Gunnison,North Fork Tribs
"4001009",LANE DITCH,278085.00000000000,4304495.00000000000,40,Gunnison,North Fork Tribs
"4002457",MCCLUSKEY DITCH,259766.00000000000,4294732.00000000000,40,Gunnison,North Fork Tribs
"4000549",FRUITLAND CANAL,280199.00000000000,4270244.00000000000,40,Gunnison,North Fork Tribs
"4001235",VALLEY VIEW DITCH,238860.00000000000,4312748.00000000000,40,Gunnison,North Fork Tribs
"4000896",PEEPLES PUMP&PIPE,209588.00000000000,4302385.00000000000,40,Gunnison,North Fork Tribs
"4001341",BROAD AX DITCH,240149.00000000000,4295256.00000000000,40,Gunnison,North Fork Tribs
"4001332",SAWTELL DITCH,197467.00000000000,4279358.00000000000,40,Gunnison,North Fork Tribs
"4000940",GRAY'S LATERAL,261190.00000000000,4314089.00000000000,40,Gunnison,North Fork Tribs
"4001071",AULT DITCH,289825.00000000000,4328033.00000000000,40,Gunnison,North Fork Tribs
"4000663",SWEITZER DITCH,243915.00000000000,4313609.00000000000,40,Gunnison,North Fork Tribs
"4000743",SHOUP DITCH,241900.50000000000,4313912.40000000037,40,Gunnison,North Fork Tribs
"4000579",NEWT FLYNN DITCH NO 1,267067.00000000000,4289542.00000000000,40,Gunnison,North Fork Tribs
"4001157",J F TOLAND DITCH,285428.00000000000,4336792.00000000000,40,Gunnison,North Fork Tribs
"4000554",GOVE DITCH,280638.20000000001,4292894.79999999981,40,Gunnison,North Fork Tribs
"4000851",RIGHT HAND DITCH,243126.50000000000,4308829.29999999981,40,Gunnison,North Fork Tribs
